,drug,condition,rating,duration,review_date,upvotes,review,username
10,Quetiapine,Schizophrenia,10.0,Taken for less than 1 month,"July 29, 2021",2,"This drug quetiapine is good, used to treat psychosis even at 50mg - 75mg ( *different person = different dose )Switched from haloperidol to this quetiapine..( due to side effect EPS and high chance develop TD, and zombie mode) haldol price is cheaper, but not worth.Quetiapine have much less EPS, less Tardive dyskenesia of chance.Initial you will feel sedation, usually doctor start at low dose and slowly increase to control symptoms..( balance the symptoms vs side effect)Sleep enough, exercise more, drink water, eat healthy. Have support from family and friends.. learning and improve good.. hopeful & wellness Be happy healthy all, may you all recover and live beautiful lives.Don’t give up, we all can have good life !",We can recover have faith
11,Quetiapine,Schizophrenia,9.0,Taken for 10 years or more,"July 19, 2021",10,"Seroquel XR (quetiapine):Seroquel XR saved my life. But, at a heavy price. Numb, zombie like existence, no emotions, flat affect, morbid obesity.  It takes hours and multiple cups of coffee to wake up...etc. But it has kept me safe by keeping me out of the psych ward.",Phoenix Man
12,Quetiapine,Schizophrenia,10.0,Taken for less than 1 month,"April 23, 2021",18,"Seroquel (quetiapine):In the four years I've had schizophrenia I've never really had relief from symptoms despite much effort in finding a good medication and numerous hospitalizations. I honestly felt like a hopeless case seeing as I've been on Invega, Zyprexa, Abilify, Clozaril, Rexulti, Loxapine, and Resperidol. Every single one of these medications made me extremely tired. I would sleep for days only to get up to have a meal or use the washroom in some cases I was sleeping 23 hours a day.. but then I tried Seroquel XR. Within days I started feeling alive again and didn't even get the sleepiness side effect. I feel so calm and clear on this drug. I now have days where I'm completely in reality and not a thing could bother me or upset/trigger me. This medication was a literal life saver, an unexpected one too.",wordsguy
13,Quetiapine,Schizophrenia,1.0,Taken for less than 1 month,"January 30, 2021",12,"Seroquel (quetiapine):I was put on this drug in January 2013 when I was 16 and in October 2008 when I was 12. I have schizophrenia and when I first took this back in middle school I don't remember any negative effects but weight gain I ended up being 150 lbs at 5'1 in March of 2009 at age 12 so we stopped it and I lost 17 lbs. in 2013 I was prescribed this and good God I felt awful! I couldn't keep my eyes open at school, I had severe akathisia and was ravenously hungry! I knew it was the medicine because I wasn't dumb so they took me off. I ended up going from 145 to 190 in a damn month all because of this crappy medicine. This, haldol, risperidone and latuda are the worst antipsychotics ever gave to me. I'm on depakote, Zoloft and zyprexa now and no negative side effects except for nausea. Never taking seroquel again",Chocolate overload
14,Quetiapine,Schizophrenia,10.0,Taken for 5 to 10 years,"January 9, 2021",4,"I had some strong psychotic episodes and I’m diagnosed with Schizophrenia. I’m using quetiapine 10 years. I still hear voices everyday, but it is not anymore so devastating experience and this medicine helped me to live with this disease and voices, which it is most of the time an annoying detail of my life and I see more criticism of their advices. There is still more voices in stressful situations. In such situations I sometimes use 100mg more and it helps quite fast. It really improved my life. From side effects I don’t see much, but I use it before sleep, so during a day for sure it would make me sleepy. My blood results and weight are fine but often at the night at the moment when quetiapine starts making me sleepy I have suddenly crazy craving to eat something sweet. Without quetiapine after 9 years I think that there would be problem to get into sleep. It was big step forward to start managing with disease. Heads up people and I wish you the best.",Average Joe
15,Quetiapine,Schizophrenia,1.0,Taken for less than 1 month,"December 24, 2020",9,"Seroquel (quetiapine):The first couple of Days I took seroquel, I was more or less a zombie. I was given the drug for multiple suicide attempts because of a severe depression.At day 8 I had the worst manic episode I have ever had in my life, I had no control over what happened and I had trouble breathing.My mild Schizophrenia have since worsened and I experience more hallucinations than I ever have before.This drug is NOT recommended in my opinion.",ITrustWeedMore
16,Quetiapine,Schizophrenia,8.0,Taken for 5 to 10 years,"June 4, 2020",50,"Seroquel (quetiapine):I used to take this drug Seroquel for 7 years. The only side effects I had was sleeping too much, no way to wake up in the morning and ""still sleeping"" for 1st hour of being awake. Once I threw up breakfast because my body was just not working yet. And I was always putting guilt on me, because I didn't know that this is pill side effect. I used to think I am lazy, because I couldn't wake up. When having job, I always needed someone who woke me up, because I always turned off the alarm unaware, while sleeping. Only now when I changed pills and can normally wake up I see that I am not lazy and I am very happy for that fact! Another side effect was muscles cramps in legs - when I went to bed, I couldn't stay still, I had to move my legs because of some weird ""muscle tightens"". This happened occasionally. The side effects were not so terrible. It didn't do any harm to mind and emotions.",123
17,Quetiapine,Schizophrenia,1.0,Taken for 1 to 6 months,"April 30, 2020",9,"The quetiapine manufactured by Roane is a poor substitute for seroquel. In fact the 54 527 tablet is dangerous, non effective and different from any form of the medicine ever used before. Highly recommend it being banned.",Baby
18,Quetiapine,Schizophrenia,7.0,Taken for 1 to 6 months,"April 23, 2020",52,"Seroquel (quetiapine):My son has autism and anxiety.  He started experiencing psychosis/auditory hallucinations at age 18...so bad he would yell and get very angry.  We have started Seroquel, on it over 2 months now, some improvement but not great.  His doc has now upped it from 25mg and we are now 500 mg.  Along with Mirtazipine and Ativan for sleep.  Hoping we can stay ahead of of his episodes instead of chasing them.  I’ll give an update.  Super helpful to read others reviews.  praying we see some good results.",Cutie Boots
19,Quetiapine,Schizophrenia,1.0,Taken for 5 to 10 years,"April 17, 2020",31,"Seroquel (quetiapine):I've had a lot of side effects caused by this drug I never knew it was caused by this drug, I had high blood pressure, terrible gas last for days, muscle cramps, seizures I gained 60 lbs or more imbalance drug for 5 years or more I would not recommend it for anybody",Otto
20,Quetiapine,Schizophrenia,10.0,Taken for 1 to 6 months,"December 3, 2019",8,quetiapine Really works for my insomnia and schizophrenia. Wake up with less anxiety and feel refreshed. No weight gain as I eat healthy and do regular exercise.,Sarah
21,Quetiapine,Schizophrenia,10.0,Taken for less than 1 month,"November 27, 2019",88,Seroquel (quetiapine):I started 100 mg of Seroquel after Abilify failed at managing my symptoms.  On Abilify I was waking with constant anxiety and restless leg syndrome.  Once I started taking Seroquel anxiety and restless leg syndrome disappeared and I’m feeling the best I’ve felt in a long time.  The first week I was tired but after that passed it’s been nothing but a sense of inner peace and calmness.  So happy I tried this medicine again.  I think the dose of 100 mg is a perfect dose for me.,Winterviolet
22,Quetiapine,Schizophrenia,10.0,Taken for 1 to 6 months,"November 25, 2019",41,Seroquel (quetiapine):I rely on this for my sleep and psychosis episodes. I take 1/2 the 25mg as needed. No weight gain. I exercise and eat healthy. It's a lifesaver knowing my scary episodes can be treated with this.,Katie
23,Quetiapine,Schizophrenia,7.0,Taken for 1 to 6 months,"November 7, 2019",23,Seroquel (quetiapine):Seroquel makes the psychosis easier to deal with but makes me very tired. experienced side effect drowsiness every time I took it.,Anonymous
24,Quetiapine,Schizophrenia,10.0,Taken for 10 years or more,"October 19, 2019",40,Seroquel (quetiapine):I find Seroquel great I was diagnosed with schitzophenia in 2001 and haven't been hospitalized since then. It works great for me,Kat
25,Quetiapine,Schizophrenia,10.0,,"August 29, 2019",198,"Seroquel (quetiapine):This drug has really helped me with the voices and the paranoia.I have been on it for nearly 3 years.I have been on pretty much every antipsychotic there is and have been dealing with this illness for a long, long time.The downside is that you will gain weight. I have lost some of it by reducing calories and taking metformin. Walking seems to help too.If you do take this one, stay as active as you can to avoid diabetes because as my psychiatrist told me ""It will happen eventually""Also, I adopted a vegatarian diet to help lower other risks with this one.The other downside is that it can make you very tired. I take 400mg at night and 75mg in the morning and another 75mg in the afternoon.I still hear voices and don't want to be around other people but it is much more manageable and I can at least have some kind of life.To be honest, I probably would have killed myself if it were not for this drug.I am surprised I even wrote this as I am a very paranoid person.",Mrmeds
26,Quetiapine,Schizophrenia,7.0,Taken for 6 months to 1 year,"August 18, 2019",6,"Was on haloperidol for many years and was somewhat helpful with main  schizophenia symptoms, but my psychiatrist was worried about tardive dyskinesia as Haldol use has a high incidence of TD. I switched to quetiapine (Seroquel) and many of the remaining psychotic symptoms went away and my confidence came back and I had energy and fell asleep easily and slept well. I was more social and less socially anxious. Months down the road, I realized I had mania. It started to cause problems with my relationships because I talked TOO much, and became much too task oriented, less sensitive to my family's feelings, and was agitated. Mania makes you feel great, but it really isn't a good thing. AH started presenting again, so I upped my quetiapine to double the dose (under supervision). Now TD seems to presenting significantly. I love quetiapine, but it has a lot of upsides and downsides.",You are not Alone
27,Quetiapine,Schizophrenia,3.0,,"July 31, 2019",6,"So on paper this drug worked miracles. I could live a normal life and function again, for the short 6.5 months I took this the effects became less and less, so my practitioner prescribed (alongside this medication) Olanzapine. I began having unusual twitches in the face, odd numb feelings too, so I spoke to them and they said not to worry it's a normal side effect - ok then, I'll take that.2 weeks later I am struggling to speak, my sentences stop in their tracks and my throat tightens up, my heart was fluttering and pounding all day so we visit the ER. I am sent home given the ""It's just anxiety"".2 hours later I have a seizure and this induced an SVT (or vice versa, the cardiologist can't say for sure) which brought my pulse up to 248bpm, I struggle to get oxygen and in resuscitation I begin having a cardiac arrest and am given cardioversion.This medication may work wonders, but if you are one of the unluckly few who suffer cardiac problems, take caution of any symptoms.",spenc11
28,Quetiapine,Schizophrenia,10.0,Taken for 1 to 2 years,"May 25, 2019",9,I have used quetiapine for about a year and a half in total. This is the medication that gave me the least side effect. It reduced my anxiety a bit as well. My symptoms of schizophrenia aren't too visible so it didn't change much but at least I can move on in life.,Green bottle
29,Quetiapine,Schizophrenia,1.0,,"May 15, 2019",8,"Seroquel XR (quetiapine):I started taking this when I was 12 years old  and the entire time I was on it, I gained probably like 40-60 pounds. But I was some what over weight at the time so probably thought not much about it. I would miss school because my mom had a death wish if she woke me up. It made me tired and foggy for days. Last October my mom woke me up just a few hours after taking it. And I couldn't even comprehend what she was saying. So along with the schizophrenia I also have sleep apneaI stop breathing in my sleep, thank god I can figure it out pretty fast and wake up. On seroquel it's impossible and also makes it worse. Even after more then ten years I really hate this medication. I haven't taken it for a for maybe a year or more. But they still prescribe it.  They started me on Abilify which. I recommend for anyone with schizophrenia or B.L.P. or B.P. because  Abilify does work, and it works fast and also it doesn't cause any sleeping problems  or drowsiness. And even comes in a once a month dose.",Whatever
30,Quetiapine,Schizophrenia,3.0,Taken for 1 to 6 months,"April 29, 2019",3,I have been on quetiapine and it makes me feel sedated and not want to do anything but sit around. It helps me sleep but that's it. I'm going to get off of it as I don't like it.,Jackie
31,Quetiapine,Schizophrenia,,Taken for 1 to 2 years,"February 14, 2019",10,Seroquel (quetiapine):a purple 300mg seroquel tablet really works to set rehab in motion.,Ricky
32,Quetiapine,Schizophrenia,8.0,Taken for 5 to 10 years,"August 25, 2018",36,"Seroquel (quetiapine):I was on Seroquel for years for my schizophrenia. It did work really good, kept my psychosis down, kept me in reality. Really helped get rid of the voices although I did still hear some. Unfortunately I had to be taken off of Seroquel due to the damage it was causing to my liver. If it wasn't for the negative side effects it would have been the perfect medication for me.",Coryman616
33,Quetiapine,Schizophrenia,10.0,Taken for 1 to 6 months,"August 20, 2018",6,"I started on 50mg  and I'm now on 600mg within 4 months. This medication was my saving grace. It stopped all my suicidal thoughts it stopped the voices in my head, if I don't take this medication at night the next day the voices start coming through and they are not all nice. I'm on a lot of medication including tramadol and diazepam I never feel sedated the next day but 600mg combined with a zopiclone helps me get some sleep. I'm 24 and was bullied for 4 months  straight everyday whilst serving on the forces. Now I'm ruined for life because of one man abusing his power.",Jord
34,Quetiapine,Schizophrenia,1.0,Taken for less than 1 month,"April 26, 2018",24,Seroquel (quetiapine):I took one pill 50 mg I was in such a deep sleep my children could not wake me up even the next morning I felt like I was drugged I slept the entire day away.  You can forget about driving on this stuff two days later I still felt the affects of the drug.,saphire
35,Quetiapine,Schizophrenia,5.0,Taken for 5 to 10 years,"April 8, 2018",4,"This med really helps with paranoia and delusional behavior but the side effects are horrific! Weight gain is unavoidable. It drops my blood sugar and I’m forced to eat or I’ll pass out. I hate the dizzy, light headed feeling of needing to eat immediately after taking it. It also distorts my vision and I already wear glasses because I can’t see 10 ft in front of me. I take 150mg four times a day and it doesn’t make me sleepy but it does put me in a foggy haze. Restless legs at night are awful. At my next appointment I’m switching to another drug because I can’t handle these side effects! If I don’t take this med and skip a dose, the extreme paranoia instantly comes back along with irregular heartbeat and it feels like the quetiapine KNOWS you didn’t take it so it makes your day awful until you do. Weirdest drug I’ve ever taken.",MeliRz504
36,Quetiapine,Schizophrenia,10.0,,"March 16, 2018",6,"Hi all, I have been diagnosed with Chronic Schizophrenia 6 years ago I'm now 19, I have been on Quetiapine (Seroquel) for the last 5 years as many of the other medications had little to no effect on my illness, I am now on 550mg of Quietpaine a day, 100mg in morning 100mg lunch time, and then 350 a night, this medication is a lot different from other antipsycotics, very different as it effects different part of brain and I find it doesn't leave me ""Blank"" but all other antipsych left be very foggy and couldn't think, this drug has work wonders for me, I does not knock me out but it helps my schizophrenia, delusions, voices etc but I would recommend getting a muscle relaxer as legs and get very restless where you have to move them its a weird feeling but usually a muscle relaxer would fix this...I have progressed a lot with this medication but it will only work well for some people always research all medication before taking it try find the right one for you!",Adamc674
37,Quetiapine,Schizophrenia,1.0,Taken for 5 to 10 years,"February 13, 2018",70,Seroquel (quetiapine):I've been taking Seroquel for a long time. It destroyed my life. It's addictive because when you stop taking it you'll never be able to sleep again. There's no getting off of it. I sleep in till 2 to 5 pm every day. I'm sluggish all day. It never helped with any of my symptoms of schizophrenia. It makes me crave sugar immensely. This drug is very dangerous. You have to be very careful when taking it. Don't drive or be around people you don't know or trust. Let's just say I could sleep through anything. This drug should be illegal even if it does help some people with their mental illness. There are other things people can take. Risperdal for example does wonders for me. I'm working with my doctor on getting off of Seroquel. I didn't do it sooner because I'm so sick I can barely accomplish anything really. I just want to say to all schizophrenics I'm so sorry. I'm so sorry that NOBODY has any idea of what's happening to you.,Suraya Jada
38,Quetiapine,Schizophrenia,8.0,Taken for 1 to 2 years,"February 2, 2018",29,"Seroquel (quetiapine):My daughter began taking 400mg of Seroquel when she was 17 years old. The first year she gained over 40 pounds.  Her doctor recognized that the weight gain was contributing to her depression. He prescribed Topamax. My understanding is that  Topamax is normally used to treat seizures but this medication also helps with impulsivity (which she struggles with as well).   A side effect is that it’s an appetite suppressant, or at least that’s how it effects my daughter.  She currently takes  100 mg a day and is back down to her regular weight.  I hope others can safely be prescribe this medication  if their doctors find it appropriate.",Boo’s Mom
39,Quetiapine,Schizophrenia,1.0,,"December 20, 2017",5,biquelle generic = made me manic & very mentally ill. G.P swapped me back to seroquel all ok. G.P- notes never to prescribe it me again.,jackieb71uk2009
40,Quetiapine,Schizophrenia,9.0,Taken for 1 to 6 months,"November 7, 2017",17,"Seroquel (quetiapine):helps with delusions and hallucinations with schizophrenia, it doesn't help anxiety but does aid sleep at start but now I can take 400-800 at night and it still won't make me tired just calms my schizophrenia down a lot. It is a very good antipsychotic not sure how people use it for sleep and it did help with sleep for the first week and now it  doesn't make me sedated or tired but sedates my mind.",ac674
41,Quetiapine,Schizophrenia,10.0,Taken for 1 to 6 months,"September 28, 2017",2,"Been on this for about 6 months, people say it knocks you out, well I think that it only does this for the first 2 weeks I was on it I take 100mg twice  a day and 75mg before bed.  It is a very very good medication for schizophrenia as it really blocks most of the delusions and voices and also helps a lot keeping the temper under control but when you flip you really go nuts.  This med keeps very stable most of time and helps appetite very well I have not really gained to much weight but its best to do some exercise when you can, helps a bit with anxiety but not enough for me. So I'm currently waiting to go to psych doc to work something out to stop anxiety and I'm thinking lyica as benzos don't really do much for me. All in all very good medication",ac674
42,Quetiapine,Schizophrenia,10.0,Taken for 6 months to 1 year,"September 3, 2017",19,"Seroquel (quetiapine):Wow this medication.. it may have knocked me out many times (put me to sleep).. Hell it may have had made me sleepy 24/7, I would sleep sometimes 18 hours a day I spent a lot of time recovering with this medication.. sleeping. But I can't complain because well.. I have my life back. And I thank all those people who put their time and effort in producing this medication because without them, who knows where I'd be.. right now I'm back in college off of this medication but still on abilify. This drug may not be the cure to schizophrenia.. but it does wonders.",Anonymous
43,Quetiapine,Schizophrenia,10.0,Taken for 2 to 5 years,"July 6, 2017",3,Sometimes I feel a bit paralysed  from this. But it works like its supposed to do.,Blatts
44,Quetiapine,Schizophrenia,10.0,Taken for 2 to 5 years,"June 18, 2017",29,"Seroquel (quetiapine):Out of all the anti-psychotics I have taken, Seroquel makes me feel the most normal! I was on put on Geodon originally in 2012 when I had my first psychotic break.  The Geodon made me gain 60 lb eventually caused insomnia, binge eating, and heavy drinking. Drugs like Fanapt and Lutuda made me more depressed/mind rush. I was put on Seroquel in 2015. My binge eating disorder continued, and I gained 40 lbs that year :/. It made me feel a million times better than Geodon though. I was able to stop popping Xanax and klonopin everyday. I eventually stopped binge eating in October, 2016 and lost the 40lbs. Currently I take 600mg of seroquel and 100mg of Zoloft, and .5 mg of Xanax at night as needed to quiet my thoughts.",Paranoid Schizophrenic
45,Quetiapine,Schizophrenia,9.0,Taken for 5 to 10 years,"May 28, 2017",35,"Seroquel (quetiapine):I take 300mg. It's been 5 years. I was on higher doses, once up to 900 mg. My delusions never went away, but I can control my thoughts better. I think of something delusional, but I don't follow the train of thought. Since I started a serious relationship 2 years ago, I have been working on my anger and paranoia that he would hurt me. It's harder to control my emotions. Right now, I have a outrageous story in my head about him, but after reading the posts on this website, I know these feelings aren't new. I've felt them with my own family. I'm going to a National Alliance of Mental health Illness (NAMI) meeting soon to get support about how lonely it can feel to be exhausted. I pray in the morning to help my negative feelings and meditate at night to be present.",Lana girl
46,Quetiapine,Schizophrenia,1.0,,"May 25, 2017",28,"Seroquel (quetiapine):This medication was given to me free at my first visit to my psychiatrist. He assured me that he hasn't heard of any adverse side effects. Well this stuff put my entire body into extreme shock. I did not drink alcohol, I don't do drugs, don't smoke, and took proper dosage as prescribed. I was rushed to the hospital on this stuff, first dose. It was like my entire body on the inside was constantly being shocked with electricity and outside I literally could not move or even sit up. My body was shaking and felt freezing and had the feeling of being bruised. Took about 6 to 8 hours to wear off. Did not take again.",Samantha554444
47,Quetiapine,Schizophrenia,6.0,Taken for 2 to 5 years,"April 12, 2017",22,"Seroquel (quetiapine):Definitely calmed me down during the first-time onset of schizophrenia. However it makes me very sleepy, sometimes I sleep 14 hours a day - and when I wake up I feel like I want to sleep even more. Also resulted in a lot of weight gain. Eventually had to stop taking it because of how tired I always was.",voskhod
48,Quetiapine,Schizophrenia,1.0,,"March 22, 2017",35,Seroquel (quetiapine):The drug made me gain weight and become depressed which I was never before using of the drug. I now have an addiction that I can't beat. I would probably sue them for not warning me about the drugs addictive properties. I think  this drug may help some people. However people have a right to be informed about what they are getting into.,RG33
49,Quetiapine,Schizophrenia,6.0,Taken for 1 to 2 years,"October 19, 2016",0,"I am using quetiapine 200 MG every day  for about  two years, and I experienced headaches after one year of consumption once or twice a week I guess it was  migraine.  And an increase in sweating.  Should I keep taking my medicine?",Piran
50,Quetiapine,Schizophrenia,1.0,,"September 4, 2016",38,"Seroquel (quetiapine):I was prescribed Seroquel for PTSD. Never again. 25 mg, I had the worst panic attack if my life, I could barely walk, but I was so scared I kept trying to run around. It was horrible. I went absolutely crazy then passed out hard. Not my kind of medication.My mother inlaw takes 250 mg a day for schizophrenia, she has for six months now,  so far it is not helping her delusions, hallucinations, paranoia. She was told to take it at supper time and seemed drunk and sedated all evening. She now takes it at bed time but it is not helping her. :(",Meghan1987bezanso
51,Quetiapine,Schizophrenia,1.0,Taken for 6 months to 1 year,"July 11, 2016",28,"Seroquel (quetiapine):I've been prescribed seraquel now for roughly a year and the side effects are soooooo nasty I wouldn't recommend it at all,the main thing that attacks me relentlessly is the tickles under the skin in the legs and I'm probably keeping the neighbors awake cos Iv gotta keep stretching my legs and wriggling in bed to calm down the relentless torment that comes back maybe every 5/10 seconds for roughly 5/8hrs most nights,I've also got to the point where it feels like I'm going to swallow my tongue for hours on end and I wander if I'm gonna be alive the next day as well,I get to the point where I'm nearly asleep and self resuscitate with a jolt of adrenaline in my heart and a deep breath like I nearly drowned and nearly have a heart attack,it's NASTY",SmokeyO123456789
52,Quetiapine,Schizophrenia,7.0,,"May 16, 2016",4,"I experience depression, anxiety and schizophrenic/general psychotic symptoms and have found even an incredibly low dosage of this to be incredibly helpful, especially in lessening voices. However, it does make me stupidly tired and gives me bad migraines upon waking up in the morning.",Maisyy
53,Quetiapine,Schizophrenia,1.0,,"April 8, 2016",31,"Seroquel (quetiapine):I complained to a friend of insomnia, mainly stress related. She offered a seroquel on the promise that it would relax me and put me in la la land. I will never again take medicine that is not prescribed for me! For the first time ever... I heard voices starting at 2 am. I heard two men arguing on the other side of my closed bedroom door, loud enough to wake me but I couldn't make out what they were saying. I was too afraid to look because I knew no one was there. Then around 4:30 am I heard a baby crying non stop this lasted until 7:00 am. I sat up for hours listening to what if feels like to be going insane! Never again!",Lizziepoo
54,Quetiapine,Schizophrenia,9.0,Taken for 10 years or more,"January 4, 2016",63,"Seroquel (quetiapine):I've been taking seroquel for 17 years . I am diagnosed as schizophrenic but for the last 10 years I have had very little symptoms. After 6 years of being shifted from one med to another all of which made me feel awful, made me put on weight and had no effect on my condition.I was happy to be put on seroquel purely because I felt normal but still had very little effect on my symptoms. I was very reluctant to change meds again so stuck with it . I had my energy back and was getting out exercising and started to loose the weight I'd put on . The schizophrenia was still there but at least I was getting a break from just sitting there with it.  It took a while but after 2-3 years the symptoms started to decrease and just kept on decreasing .",Bazzzaaa1
55,Quetiapine,Schizophrenia,1.0,Taken for 1 to 6 months,"January 2, 2016",16,"Seroquel (quetiapine):I've been taking this drug for a few months I'm on a very high dose (800mg). I was finding on lower doses my paranoia was overwhelming and my depression was getting to the suicidal point. Now I'm on a higher dose I'm like a zombie, lack of motivation in everything I do. For me personally, I do not think its the right drug for me but everyone takes to medications differently",English friend
56,Quetiapine,Schizophrenia,10.0,Taken for 1 to 6 months,"October 5, 2015",4,Very good drug. Tried olanzapine and aripiprazole and this is the best. Made my depression a bit better also. Better than lithium citalapram and sertraline as I've tried all these for depression with no success. Relieved me of anxiety too. Does make you super groggy after taking it so be careful guys,supershid
57,Quetiapine,Schizophrenia,10.0,,"June 22, 2015",31,"Seroquel (quetiapine):I've been on seroquel twice now. I was hearing voices all day that affected my PTSD, then it was a falling block thing with my anxiety and depression. I love this medication because I also have sleeping problems - falling asleep and staying asleep. There's XR and non XR (time release). I'm on 450; the higher you are on, the longer it takes to fall asleep. The only bad thing about this medication is weight gain. Be careful with that. I did research on all schizophrenic medications and they all cause weight gain. Just a note; the reason I pay $60 is because I need to take 300 + 150 to make 450. The XR is $15 more. I go under blue cross blue shield, if this helps anyone.",ZeldaKitten
58,Quetiapine,Schizophrenia,7.0,Taken for 1 to 6 months,"April 15, 2015",13,"Seroquel XR (quetiapine):I lost touch with reality for quite a while. I mainly use this as a sleep aid, but I am a paranoid schizophrenic. As far as symptoms of my schizophrenia, it helps. However, whenever it's about time to take my dose I notice my condition worsening a lot. If I take it late, I am loopy and a bit delusion, but I hold a steady job that requires us to work late some days. Also, if I am just having an overall bad day, it seems to not help my symptoms at all. I am pretty sure I would be a lot worse without this medication. My insurance doesn't cover it, but I got a card from the doctor making my prescription only cost around 17 bucks. If I didn't have that card, it would be about 80 bucks with my work insurance. 400 or something with none.",Rest In Pieces
59,Quetiapine,Schizophrenia,7.0,Taken for 6 months to 1 year,"December 27, 2014",13,"Seroquel XR (quetiapine):When I was 14 I was put on 450mg/day before bed time and within 6 months I gained 25-30 pounds. It worked super well to get rid of my hallucinations (including the tactile ones) but it made me extremely zombie-like. My grades slipped at school, and I slept as soon as I got home till the next morning. The first day I slept 22 hours. This medicine made me so hungry all the time and no matter how much I ate I was never full.",Skr1259
60,Quetiapine,Schizophrenia,6.0,Taken for 1 to 2 years,"December 6, 2014",38,"Seroquel (quetiapine):I'm been on Seroquel since been diagnosed (now 18 months). Started taking 50g but now I'm on 100g. I've got to the point on this medication that the side effects are too much. Constantly tired. Feel very vague. My memory is terrible. I'm starting to forget about things I've already done. Still very paranoid. Also I'm still having panic attacks. So for me, it's time to move on and try something new (Olanzapine).",zaiyd&lola
61,Quetiapine,Schizophrenia,8.0,Taken for 1 to 2 years,"December 1, 2014",47,"Seroquel (quetiapine):Seroquel- Out of Risperdal, Zyprexa, Trilafon, Abilify, Haldol, and Geodon, Seroquel is by far the best one. At lower doses, it is good for anxiety. You don't feel like a zombie on it. Obviously it helps you sleep, but at lower doses you won't be sleepy or if you just take it at bed time. Abilify and Haldol turned me into a complete zombie it was terrible. Risperdal had sexual side effects and of course the breast growth issue, but I would say Risperdal is the second best one behind Seroquel. Haldol and Abilify help paranoia big time but they also exasperate anxiety, definitely stay away from those. Geodon and Zyprexa are worse than those medicines. Geodon made me disoriented, helpless, still very paranoid. Zyprexa is probably the second worst.",Corksters
62,Quetiapine,Schizophrenia,10.0,Taken for 1 to 6 months,"April 25, 2014",24,Seroquel XR (quetiapine):All the other medications I have been on produced horrible side effects. Seroquel works great and the only side effect is sleepiness. Stable at 600mg and quite pleased.,DeadBunny
